,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
87,5/15/2003,25.79,16.30038542,37.96817975,1.33,0.94,45697874.0,0.953692248,0.220388038,10.0,0.0,5.0,15.0,0.6666666666666666,0.0,0.3333333333333333
88,5/16/2003,25.57,16.16133599,37.64429454,1.33,0.94,60488391.0,0.953692248,0.220089808,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
89,5/19/2003,24.8,15.67466299,36.51069631,1.33,0.94,55447137.0,0.953692248,0.23126243,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
90,5/20/2003,24.63,15.5672157,36.26042137,1.33,0.94,52782940.0,0.953692248,0.229281318,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
91,5/21/2003,24.03,15.18798998,35.37709808,1.33,0.94,109343442.0,0.953692248,0.228624307,12.0,0.0,4.0,16.0,0.75,0.0,0.25
92,5/22/2003,24.16,15.27015555,35.56848479,1.33,0.94,93413313.0,0.953692248,0.230465986,12.0,0.0,4.0,16.0,0.75,0.0,0.25
93,5/23/2003,24.22,15.30807812,35.65681712,1.33,0.94,77053076.0,0.953692248,0.230124468,12.0,0.0,4.0,16.0,0.75,0.0,0.25
94,5/27/2003,24.79,15.66834256,36.49597425,1.33,0.94,68514305.0,0.953692248,0.244204344,12.0,0.0,4.0,16.0,0.75,0.0,0.25
95,5/28/2003,24.41,15.42816627,35.93653617,1.33,0.94,91526308.0,0.953692248,0.235942487,12.0,0.0,4.0,16.0,0.75,0.0,0.25
96,5/29/2003,24.4,15.42184584,35.92181411,1.33,0.94,75491901.0,0.953692248,0.235326234,12.0,0.0,4.0,16.0,0.75,0.0,0.25
97,5/30/2003,24.61,15.55457484,36.23097726,1.33,0.94,85397900.0,0.953692248,0.236959585,12.0,0.0,4.0,16.0,0.75,0.0,0.25
98,6/2/2003,24.639,15.57290408,36.27367122,1.33,0.94,66328680.0,0.953692248,0.235606413,12.0,0.0,4.0,16.0,0.75,0.0,0.25
99,6/3/2003,24.88,15.72522641,36.62847275,1.33,0.94,61069652.0,0.953692248,0.230304753,12.0,0.0,3.0,15.0,0.8,0.0,0.2
100,6/4/2003,24.87,15.71890599,36.61375069,1.33,0.94,83566275.0,0.953692248,0.228496176,12.0,0.0,3.0,15.0,0.8,0.0,0.2
101,6/5/2003,24.09,15.22591255,35.46543041,1.33,0.94,116136863.0,0.953692248,0.236594461,12.0,0.0,3.0,15.0,0.8,0.0,0.2
102,6/6/2003,23.67,14.96045455,34.8471041,1.33,0.94,121172563.0,0.953692248,0.238289004,12.0,0.0,3.0,15.0,0.8,0.0,0.2
103,6/9/2003,23.75,15.01101798,34.96488054,1.33,0.94,73629370.0,0.953692248,0.239090256,12.0,0.0,3.0,15.0,0.8,0.0,0.2
